+-----------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+
| Non-Term        | !=                             | #include                       | )                              | *                              | +                              | ,                              | -                              | ;                              | <                              | <<                             | <=                             | =                              | ==                             | >                              | >=                             | >>                             | cin                            | cout                           | float                          | identifier                     | int                            | integer                        | number                         | return                         | string                         | using                          | while                          | }                              |
+-----------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+--------------------------------+
| Start           | []                             | S N M                          | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | S N M                          | []                             | []                             | []                             | []                             | S N M                          | []                             | []                             |
| S               | []                             | #include < iostream > S        | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | ε                              | []                             | []                             | []                             | []                             | ε                              | []                             | []                             |
| N               | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | ε                              | []                             | []                             | []                             | []                             | using namespace std ;          | []                             | []                             |
| M               | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | int main ( ) { T V }           | []                             | []                             | []                             | []                             | []                             | []                             | []                             |
| T               | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | Input T                        | Output T                       | Id T                           | L T                            | Id T                           | []                             | []                             | ε                              | []                             | []                             | Loop T                         | ε                              |
| V               | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | return integer ;               | []                             | []                             | []                             | ε                              |
| Id              | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | float L                        | []                             | int L                          | []                             | []                             | []                             | []                             | []                             | []                             | []                             |
| L               | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | identifier Assign Z            | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             |
| Z               | []                             | []                             | []                             | []                             | []                             | , identifier Assign Z          | []                             | ;                              | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             | []                             |
